青木,あおき
市民墓地Ｉ区画前,しみんぼちあいくかくまえ
市民墓地入口,しみんぼちいりぐち
市民墓地Ｘ区画前,しみんぼちえっくすくかくまえ
市民墓地Ｆ区画前,しみんぼちえふくかくまえ
市民墓地Ｋ区画前,しみんぼちけーくかくまえ
市民墓地５２区画前,しみんぼちごじゅうにくかくまえ
市民墓地３７区画前,しみんぼちさんじゅうななくかくまえ
市民墓地中央,しみんぼちちゅうおう
市民墓地Ｐ区画前,しみんぼちぴーくかくまえ
下荒沢,しもあらさわ
下飯田,しもいいだ
下飯田入口,しもいいだいりぐち
下飯田中区,しもいいだなかく
下鼬原,しもいたちばら
下倉,しもぐら
下原,しもはら
下辺田,しもへた
尚絅学院中学高校前,しょうけいがくいんちゅうがくこうこうまえ
商工会議所前,しょうこうかいぎしょまえ
照徳寺前,しょうとくじまえ
昭和北,しょうわきた
職業能力開発校前,しょくぎょうのうりょくかいはつこうまえ
食肉市場入口,しょくにくしじょういりぐち
白坂,しらさか
白沢駅前,しらさわえきまえ
白鳥一丁目・軽自動車検査協会前,しらとりいっちょうめけいじどうしゃけんさきょうかいまえ
白鳥二丁目,しらとりにちょうめ
白鳥二丁目東,しらとりにちょうめひがし
白萩町,しらはぎまち
市立病院,しりつびょういん
福祉プラザ前,ふくしぷらざまえ
四郎丸,しろうまる
四郎丸市営住宅前,しろうまるしえいじゅうたくまえ
四郎丸小学校前,しろうまるしょうがっこうまえ
四郎丸東市営住宅前,しろうまるひがししえいじゅうたくまえ
志波町,しわまち
新寺一丁目,しんてらいっちょうめ
新寺三丁目,しんてらさんちょうめ
新寺三丁目西,しんてらさんちょうめにし
新寺二丁目,しんてらにちょうめ
新寺四丁目・サンプラザ入口,しんてらよんちょうめさんぷらざいりぐち
新田一丁目,しんでんいっちょうめ
新田一丁目東,しんでんいっちょうめひがし
新田小学校入口,しんでんしょうがっこういりぐち
新田二丁目,しんでんにちょうめ
新田二丁目東,しんでんにちょうめひがし
新田東一丁目,しんでんひがしいっちょうめ
新浜,しんはま
新浜浦通,しんはまうらどおり
新浜西,しんはまにし
新宮の澤橋,しんみやのさわばし
寺院墓地中央,じいんぼちちゅうおう
ＪＲ東北福祉大前駅,じぇいあーるとうほくふくしだいまええき
ＪＲ長町駅西口,じぇいあーるながまちえきにしぐち
ＪＲ長町駅東口,じぇいあーるながまちえきひがしぐち
ＪＲ東日本前,じぇいあーるひがしにほんまえ
ＪＡ仙台秋保店入口,じぇいえーせんだいあきうてんいりぐち
ＪＡ仙台六郷支店前,じぇいえーせんだいろくごうしてんまえ
ＪＣＨＯ仙台病院前,じぇいこーせんだいびょういんまえ
ＪＣＨＯ仙台南病院入口,じぇいこーせんだいみなみびょういんいりぐち
自動車団地,じどうしゃだんち
自動車団地入口,じどうしゃだんちいりぐち
自由ケ丘,じゆうがおか
自由ケ丘中央,じゆうがおかちゅうおう
十文字,じゅうもんじ
定義,じょうぎ
定禅寺通市役所前,じょうぜんじどおりしやくしょまえ
情報科学研究科西,じょうほうかがくけんきゅうかにし
情報科学研究科前,じょうほうかがくけんきゅうかまえ
陣ケ原,じんがはら
水泉荘前,すいせんそうまえ
菅間,すがま
杉の崎公会堂前,すぎのさきこうかいどうまえ
砂押町,すなおしまち
住吉神社前,すみよしじんじゃまえ
住吉台一丁目,すみよしだいいっちょうめ
住吉台入口,すみよしだいいりぐち
住吉台中央,すみよしだいちゅうおう
住吉台西三丁目,すみよしだいにしさんちょうめ
住吉台西二丁目,すみよしだいにしにちょうめ
住吉台西四丁目,すみよしだいにしよんちょうめ
住吉台東五丁目,すみよしだいひがしごちょうめ
住吉台東三丁目,すみよしだいひがしさんちょうめ
住吉台東二丁目,すみよしだいひがしにちょうめ
住吉台東四丁目,すみよしだいひがしよんちょうめ
諏訪神社前,すわじんじゃまえ
諏訪町,すわまち
西花苑一丁目,せいかえんいっちょうめ
西花苑スポーツ公園前,せいかえんすぽーつこうえんまえ
西花苑団地入口,せいかえんだんちいりぐち
西花苑二丁目,せいかえんにちょうめ
誓渡寺前,せいとじまえ
保健環境センター・青年会館前,ほけんかんきょうせんたーせいねんかいかんまえ
青陵中等教育学校前,せいりょうちゅうとうきょういくがっこうまえ
星陵町,せいりょうちょう
宮城野三丁目・聖和学園前,みやぎのさんちょうめせいわがくえんまえ
聖和短大前,せいわたんだいまえ
堰場,せきば
仙台一高前,せんだいいちこうまえ
仙台駅北口,せんだいえききたぐち
仙台駅東口,せんだいえきひがしぐち
仙台駅前,せんだいえきまえ
仙台環境開発スポーツパーク宮城広瀬前,せんだいかんきょうかいはつすぽーつぱーくみやぎひろせまえ
仙台高校・福祉大ウェルコム２１前,せんだいこうこうふくしだいうぇるこむにじゅういちまえ
仙台高校南,せんだいこうこうみなみ
仙台高専広瀬キャンパス入口,せんだいこうせんひろせきゃんぱすいりぐち
仙台市民球場前,せんだいしみんきゅうじょうまえ
仙台城跡南,せんだいじょうあとみなみ
仙台大観音前,せんだいだいかんのんまえ
陸上自衛隊仙台駐屯地前,りくじょうじえいたいせんだいちゅうとんちまえ
仙台逓信病院前,せんだいていしんびょういんまえ
仙台ハイランド入口,せんだいはいらんどいりぐち
仙台東年金事務所前,せんだいひがしねんきんじむしょまえ
仙台フィンランド健康福祉センター前,せんだいふぃんらんどけんこうふくしせんたーまえ
仙台南年金事務所前,せんだいみなみねんきんじむしょまえ
太子堂駅前,たいしどうえきまえ
大梅寺前,たいばいじまえ
高砂大橋,たかさごおおはし
高砂市営住宅西,たかさごしえいじゅうたくにし
高砂市営住宅東,たかさごしえいじゅうたくひがし
高砂市民センター前,たかさごしみんせんたーまえ
高砂二丁目,たかさごにちょうめ
高野原三丁目,たかのはらさんちょうめ
高野原二丁目,たかのはらにちょうめ
高野原四丁目,たかのはらよんちょうめ
高橋,たかはし
高原住宅前,たかはらじゅうたくまえ
高松入口,たかまついりぐち
高松三丁目,たかまつさんちょうめ
高松二丁目,たかまつにちょうめ
滝の上,たきのかみ
滝の原,たきのはら
滝道入口,たきみちいりぐち
竹野花,たけのはな
田子公会堂前,たごこうかいどうまえ
田子三丁目,たごさんちょうめ
田子小学校入口,たごしょうがっこういりぐち
田子小学校前,たごしょうがっこうまえ
田子鳥居前,たごとりいまえ
田子西,たごにし
田子西市営住宅前,たごにししえいじゅうたくまえ
田子西中央,たごにしちゅうおう
田尻,たじり
立町小学校前,たちまちしょうがっこうまえ
種次,たなつぎ
種次入口,たなつぎいりぐち
太夫原,たゆうはら
大学病院前,だいがくびょういんまえ
第２給水塔入口,だいにきゅうすいとういりぐち
大年寺前,だいねんじまえ
台原,だいのはら
台原入口,だいのはらいりぐち
地下鉄台原駅,ちかてつだいのはらえき
大満寺前,だいまんじまえ
第四合同庁舎前,だいよんごうどうちょうしゃまえ
地下鉄旭ケ丘駅,ちかてつあさひがおかえき
地下鉄泉中央駅,ちかてついずみちゅうおうえき
地下鉄北仙台駅,ちかてつきたせんだいえき
地下鉄台原駅,ちかてつだいのはらえき
地下鉄長町駅・たいはっくる前,ちかてつながまちえきたいはっくるまえ
地下鉄長町南駅・太白区役所前,ちかてつながまちみなみえきたいはくくやくしょまえ
地下鉄広瀬通駅,ちかてつひろせどおりえき
地下鉄八乙女駅,ちかてつやおとめえき
地下鉄八乙女駅入口,ちかてつやおとめえきいりぐち
中央卸売市場,ちゅうおうおろしうりしじょう
中央卸売市場正門前,ちゅうおうおろしうりしじょうせいもんまえ
中央三丁目,ちゅうおうさんちょうめ
中央郵便局前,ちゅうおうゆうびんきょくまえ
長生園前,ちょうせいえんまえ
長泉寺前,ちょうせんじまえ
長命ケ丘一丁目,ちょうめいがおかいっちょうめ
長命ケ丘一丁目東,ちょうめいがおかいっちょうめひがし
長命ケ丘五丁目,ちょうめいがおかごちょうめ
長命ケ丘三丁目,ちょうめいがおかさんちょうめ
長命ケ丘三丁目西,ちょうめいがおかさんちょうめにし
長命ケ丘市民センター前,ちょうめいがおかしみんせんたーまえ
長命ケ丘二丁目,ちょうめいがおかにちょうめ
長命ケ丘二丁目西,ちょうめいがおかにちょうめにし
長命ケ丘四丁目,ちょうめいがおかよんちょうめ
長命ケ丘六丁目,ちょうめいがおかろくちょうめ
長命ケ丘六丁目南,ちょうめいがおかろくちょうめみなみ
鶴谷小学校前,つがやしょうがっこうまえ
